id,rate,expected_pct,observed_pct,diff_pct,count
1,1170,11.7000,11.6370,-0.0630,11637
2,1605,16.0500,16.2680,+0.2180,16268
3,2675,26.7500,26.7140,-0.0360,26714
4,400,4.0000,4.1190,+0.1190,4119
5,400,4.0000,4.0680,+0.0680,4068
6,400,4.0000,3.8810,-0.1190,3881
7,400,4.0000,3.9270,-0.0730,3927
8,600,6.0000,5.9450,-0.0550,5945
9,1000,10.0000,10.1160,+0.1160,10116
10,180,1.8000,1.7070,-0.0930,1707
11,270,2.7000,2.6500,-0.0500,2650
12,450,4.5000,4.4120,-0.0880,4412
13,90,0.9000,0.9390,+0.0390,939
14,135,1.3500,1.4320,+0.0820,1432
15,225,2.2500,2.1850,-0.0650,2185
